product_id,strategy_id,mode,sites,annual_demand,units_per_batch,batches_per_site_year,yield_fraction,uptime,saleable_capacity,utilization,annualized_capex,fixed_qa_labor,validation_annualized,variable_production,testing,inventory_carrying_expiry,distribution,reserved_capacity_cost,total_annual_cost,cost_per_unit,response_days,expected_shortage_days_screen,delivered_units,chronic_shortfall_days,crf_used,illustrative
norepinephrine_1mgml_4ml,S11,corrected,1.2664841432808578,900000.0,30000.0,42.04228967753558,0.96,0.85,1303459.4661190966,0.6904702627076301,6703201.570909161,3119411.6802036166,650981.5795300461,1056122.4489795917,956632.6530612245,17360.916969527534,180000.0,2177977.2756846603,14861688.125337828,16.51298680593092,118.0,9.579979611163349,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S12,corrected,3.0,900000.0,30000.0,23.25,0.96,0.85,1707480.0,0.5270925574530888,12342812.28827979,5092283.1499657985,2929417.1078852075,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,22591989.482110668,25.10221053567852,112.0,0.30840000000000045,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S13,corrected,2.126897211086123,900000.0,30000.0,29.502427643206687,0.96,0.85,1536086.4887063655,0.5859045090344791,9864324.992472079,4264445.35308907,1952944.7385901383,1056122.4489795917,956632.6530612245,69443.66787811014,180000.0,1585320.1332305537,19929233.987300765,22.143593319223072,112.0,2.711670802984436,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S14,corrected,2.0,900000.0,30000.0,47.25,0.96,0.85,2313360.0,0.38904450669156554,13406403.141818322,7174646.8644683175,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,24761471.680856653,27.512746312062948,112.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S15,corrected,1.0,900000.0,30000.0,47.25,0.96,0.85,1156680.0,0.7780890133831311,6703201.570909161,3119411.6802036166,650981.5795300461,1056122.4489795917,956632.6530612245,104165.50181716522,180000.0,0.0,12770515.434500804,14.189461593889783,113.0,11.720400000000003,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S16,corrected,1.148046746267143,900000.0,30000.0,44.63865458078478,0.96,0.85,1254532.977412731,0.7173984392631135,6703201.570909161,3119411.6802036166,650981.5795300461,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,4965231.934016322,17666303.700639017,19.629226334043352,112.0,10.293348871120658,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S17,corrected,1.5329682865617158,900000.0,30000.0,38.645148087513014,0.96,0.85,1450238.9322381928,0.6205873942516532,6703201.570909161,3587323.4322341587,976472.3692950691,1056122.4489795917,956632.6530612245,26041.375454291305,180000.0,4705477.107885208,18191270.957818706,20.212523286465228,111.0,7.233271216727314,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S18,corrected,2.0,900000.0,30000.0,46.125,0.96,0.85,2258280.0,0.39853339709867686,13213017.366209622,6425382.264213798,1952944.7385901383,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,0.0,23818821.304993432,26.465357005548256,112.0,0.0,900000.0,0.0,0.16274539488251152,True
norepinephrine_1mgml_4ml,S19,corrected,1.042299070362041,900000.0,30000.0,47.25,0.96,0.85,1205606.4887063655,0.7465122396327794,6703201.570909161,3119411.6802036166,650981.5795300461,1056122.4489795917,956632.6530612245,34721.83393905507,180000.0,2946783.975333833,15647855.741956528,17.386506379951697,112.0,10.944818420807293,900000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S0,corrected,1.0,1200000.0,25000.0,47.25,0.96,0.85,963900.0,1.2449424214130096,6509815.795300461,3000000.0,650981.5795300461,1156680.0,1204875.0,19013.91780821918,188924.40000000002,0.0,12730290.692638727,13.47659772124588,115.0,17.45025,944622.0,77.67747499999999,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S1,corrected,1.0,1200000.0,25000.0,47.25,0.96,0.85,963900.0,1.2449424214130096,6509815.795300461,3000000.0,650981.5795300461,1156680.0,1204875.0,114083.50684931508,188924.40000000002,0.0,12825360.281679822,13.577240718170678,115.0,17.45025,944622.0,77.67747499999999,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S2,corrected,2.0,1200000.0,25000.0,54.0,0.96,0.85,2203200.0,0.5446623093681917,13019631.590600923,6899999.999999999,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,25160884.967714965,20.967404139762472,114.0,1.4759999999999998,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S3,corrected,2.0,1200000.0,25000.0,58.5,0.96,0.85,2386800.0,0.5027652086475616,13019631.590600923,7200000.0,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,360000.0,25820884.967714965,21.517404139762473,114.0,0.09899999999999964,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S4,corrected,2.0,1200000.0,25000.0,65.25,0.96,0.85,2662200.0,0.450755014649538,13019631.590600923,6600000.000000001,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,24860884.967714965,20.717404139762472,115.0,0.0,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S5,corrected,4.0,1200000.0,25000.0,60.75000000000001,0.96,0.85,4957200.000000001,0.24207213749697407,26039263.181201845,16800000.0,6509815.795300461,1469387.7551020407,1530612.2448979593,36231.47889292703,240000.0,0.0,52625310.45539524,43.85442537949603,112.0,0.0,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S6,corrected,4.0,1200000.0,25000.0,60.75000000000001,0.96,0.85,4957200.000000001,0.24207213749697407,26039263.181201845,18000000.0,7811778.954360553,1469387.7551020407,1530612.2448979593,36231.47889292703,240000.0,0.0,55127273.61445533,45.93939467871277,106.4,0.0,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S7,corrected,2.0,1200000.0,25000.0,51.74999999999999,0.96,0.85,2111399.9999999995,0.5683432793407219,13019631.590600923,7500000.0,1301963.1590600922,1469387.7551020407,1530612.2448979593,24154.319261951354,240000.0,216000.0,25301749.068922963,21.084790890769135,113.0,2.164500000000004,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S8,corrected,2.0,1200000.0,25000.0,47.25,0.96,0.85,1927800.0,0.6224712107065048,13406403.141818322,6238823.360407233,1301963.1590600922,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,24235498.29980955,20.196248583174626,114.0,4.7219999999999995,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S9,corrected,2.0,1200000.0,25000.0,54.0,0.96,0.85,2203200.0,0.5446623093681917,14524709.097167691,7983513.933141753,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,27749476.40742349,23.124563672852908,114.0,1.9679999999999995,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S10,corrected,3.0,1200000.0,25000.0,21.75,0.96,0.85,1331100.0,0.901510029299076,9307127.889029346,4319411.680203617,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,18867792.946347002,15.723160788622502,114.0,11.845750000000002,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S11,corrected,1.2664841432808578,1200000.0,25000.0,42.04228967753558,0.96,0.85,1086216.2217659138,1.1047524203322083,6703201.570909161,3119411.6802036166,650981.5795300461,1303459.4661190964,1357770.2772073923,21426.730949902954,212898.3794661191,2129377.2756846603,15498526.960069994,14.559553716599753,120.0,16.465825153395073,1064491.8973305954,41.21704789527724,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S12,corrected,3.0,1200000.0,25000.0,23.25,0.96,0.85,1422900.0,0.843348091924942,12342812.28827979,5092283.1499657985,2929417.1078852075,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,23652821.184654698,19.71068432054558,114.0,9.559249999999999,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S13,corrected,2.126897211086123,1200000.0,25000.0,29.502427643206687,0.96,0.85,1280072.0739219713,0.9374472144551665,9864324.992472079,4264445.35308907,1952944.7385901383,1469387.7551020407,1530612.2448979593,96617.27704780542,240000.0,1564908.1332305537,20983240.494429644,17.486033745358036,114.0,13.641056976895968,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S14,corrected,2.0,1200000.0,25000.0,47.25,0.96,0.85,1927800.0,0.6224712107065048,13406403.141818322,7174646.8644683175,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,25822303.383400682,21.5185861528339,114.0,4.7219999999999995,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S15,corrected,1.0,1200000.0,25000.0,47.25,0.96,0.85,963900.0,1.2449424214130096,6703201.570909161,3119411.6802036166,650981.5795300461,1156680.0,1204875.0,114083.50684931508,188924.40000000002,0.0,13138157.737492139,13.908375770934976,115.0,17.45025,944622.0,77.67747499999999,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S16,corrected,1.148046746267143,1200000.0,25000.0,44.63865458078478,0.96,0.85,1045444.1478439425,1.1478375028209815,6703201.570909161,3119411.6802036166,650981.5795300461,1254532.977412731,1306805.184804928,41244.919805350066,204907.05297741274,4848591.934016322,18129676.899659567,17.695512805660265,114.0,16.813970088332074,1024535.2648870636,53.37052359685149,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S17,corrected,1.5329682865617158,1200000.0,25000.0,38.645148087513014,0.96,0.85,1208532.4435318275,0.992939830802645,6703201.570909161,3587323.4322341587,976472.3692950691,1450238.932238193,1510665.5544147843,35759.316137380105,236872.35893223822,4676317.107885208,19176850.642046195,16.191716693742297,113.0,14.992470303290528,1184361.794661191,4.756620790554369,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S18,corrected,2.0,1200000.0,25000.0,46.125,0.96,0.85,1881900.0,0.637653435357883,13213017.366209622,6425382.264213798,1952944.7385901383,1469387.7551020407,1530612.2448979593,48308.63852390271,240000.0,0.0,24879653.00753746,20.733044172947885,114.0,5.181,1200000.0,0.0,0.16274539488251152,True
sodium_bicarbonate_8_4_50ml,S19,corrected,1.042299070362041,1200000.0,25000.0,47.25,0.96,0.85,1004672.0739219713,1.194419583412447,6703201.570909161,3119411.6802036166,650981.5795300461,1205606.4887063655,1255840.0924024642,39636.377710894216,196915.72648870636,2946783.975333833,16118377.491285086,16.370838204443277,114.0,17.108270875476446,984578.6324435318,65.52399929842574,0.16274539488251152,True
