HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
J0475,"Injection, baclofen, 10 mg",Baclofen (J0475)*,Baclofen*,21809546.9,134430,26652,8459,162.2372008,818.3080782,2578.265386,0,20790960.74,125583.8,24857,8046,165.5544803,836.4227678,2584.012023,0,20700931.38,116877.3,23377,7523,177.116783,885.5255756,2751.685681,0,19433551.34,109556.8,21944,7078,177.3833422,885.5974909,2745.627485,0,17161958.05,99465.4,19774,6457,172.54199,867.9052316,2657.884165,0,176.24625,-0.027293161,0.015514408
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Baclofen (J0476)*,Baclofen*,38533.66,748,87,60,51.51558824,442.9156322,642.2276667,0,7109.33,188,69,44,37.81558511,103.0337681,161.5756818,1,4517.12,141,62,40,32.03631206,72.85677419,112.928,1,2915.32,62,47,27,47.02129032,62.02808511,107.9748148,1,3484.29,81,51,36,43.01592593,68.31941177,96.78583333,0,47.8325,-0.085181933,-0.044077568
J0480,"Injection, basiliximab, 20 mg",Simulect,Basiliximab,1271345.29,375,352,244,3390.254107,3611.776392,5210.431516,0,1791467.83,510,490,228,3512.68202,3656.056796,7857.315044,0,2208027.72,553,546,229,3992.816854,4044.006813,9642.042445,0,2033680.63,478,471,230,4254.561987,4317.79327,8842.089696,0,1778495.75,399,396,207,4457.382832,4491.150884,8591.766908,0,4533.3145,0.047671381,0.070808775
J0485,"Injection, belatacept, 1 mg",Nulojix,Belatacept,62801186.03,20074996.5,38347,4548,3.128328617,1637.707931,13808.52815,0,74281398.69,23514413.6,45217,5174,3.158973043,1642.775918,14356.6677,0,93760191.11,25458631,48855,5569,3.68284497,1919.152412,16836.09106,0,107204978.3,28826521.5,53902,6030,3.718970334,1988.886837,17778.60337,0,122265211.3,32278003.6,60375,6789,3.787880217,2025.096667,18009.31084,0,3.85675,0.018529291,0.04898908
J0490,"Injection, belimumab, 10 mg",Benlysta,Belimumab,93003577.16,2202704.6,26867,3249,42.22244651,3461.628658,28625.29306,0,102382337.1,2326672.2,28528,3406,44.00376517,3588.836831,30059.40608,0,112789685.9,2363944.8,29272,3607,47.71248716,3853.159535,31269.66618,0,117883241.7,2378024.2,29708,3631,49.57192687,3968.06388,32465.7785,0,125525138.6,2399467.8,30420,3685,52.31374167,4126.401664,34063.80967,0,53.5945,0.055309829,0.055037988
J0491,"Injection, anifrolumab-fnia, 1 mg",Saphnelo,Anifrolumab-Fnia,,,,,,,,,,,,,,,,,15474475.83,983503,3408,775,15.73404029,4540.632579,19967.06559,0,39863662.59,2497996,8494,1372,15.95825718,4693.155473,29055.14766,0,64586679.79,3852691,12979,1877,16.76404357,4976.244687,34409.52573,0,17.23425,0.050493383,0.03221285
J0500,"Injection, dicyclomine hcl, up to 20 mg",Bentyl*,Dicyclomine HCL*,17429.35,432,399,195,40.34571759,43.68258145,89.38128205,0,10043.71,314,285,155,31.98633758,35.24108772,64.79812903,0,11331.96,428,271,153,26.47654206,41.81535055,74.06509804,0,15548.76,668,387,157,23.27658683,40.17767442,99.0366879,0,7394.1,343,219,140,21.55714286,33.7630137,52.815,0,21.539,-0.073870107,-0.145034798
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate*,Benztropine Mesylate*,3153.88,186,105,15,16.95634409,30.03695238,210.2586667,0,3959.94,223,127,15,17.75757848,31.18062992,263.996,0,3821.5,220,125,17,17.37045455,30.572,224.7941177,0,1834.35,108,64,12,16.98472222,28.66171875,152.8625,0,898.52,52,38,,17.27923077,23.64526316,,0,16.434,0.017339615,0.004726937
J0517,"Injection, benralizumab, 1 mg",Fasenra*,Benralizumab*,180879417.3,1069656,36507,7670,169.1005495,4954.650268,23582.71412,0,197482083.7,1214610.9,41352,8456,162.5887629,4775.635609,23354.07801,0,216900354.3,1321482,45146,9158,164.1341723,4804.420198,23684.24921,0,231829728.8,1404656,48080,9599,165.043775,4821.749767,24151.44586,0,241276553.6,1477095,50136,9899,163.3453188,4812.441233,24373.83106,0,167.56675,-0.010290944,-0.008619394
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,65854.01,6312,547,401,10.4331448,120.3912431,164.2244638,0,49969.34,4529,378,286,11.03319497,132.1940212,174.717972,0,53529.2,4531,383,276,11.8139925,139.7629243,193.9463768,0,64313.88,4574,342,264,14.06075208,188.0522807,243.6131818,0,12614.76,759,92,66,16.62023715,137.1169565,191.1327273,0,18.498,0.182030454,0.123454519
